Accuracy,Loss
0.9375,0.13073988258838654
0.9375,0.08541056513786316
1.0,0.136837437748909
0.875,0.31896817684173584
0.875,0.4275270402431488
1.0,0.028987839818000793
1.0,0.11910994350910187
1.0,0.054098062217235565
1.0,0.1231827437877655
1.0,0.03356436267495155
1.0,0.10912575572729111
1.0,0.02369789034128189
1.0,0.02890896238386631
1.0,0.0214547049254179
0.9375,0.1273411065340042
1.0,0.027836579829454422
1.0,0.06009644269943237
1.0,0.09448850154876709
1.0,0.059085406363010406
1.0,0.01318933442234993
0.9375,0.11825770884752274
1.0,0.029923226684331894
1.0,0.011998908594250679
0.9375,0.12760116159915924
1.0,0.03634919598698616
1.0,0.03537455201148987
1.0,0.01759934425354004
1.0,0.0591997429728508
1.0,0.009603952057659626
1.0,0.04612695425748825
